date, value
1980-01-01,3167.156982421880
1980-02-01,3236.822998046880
1980-03-01,3091.097656250000
1980-04-01,2910.098388671880
1980-05-01,2585.798828125000
1980-06-01,2498.054931640630
1980-07-01,2464.765136718750
1980-08-01,2312.205566406250
1980-09-01,2386.060302734380
1980-10-01,2305.371093750000
1980-11-01,2173.755371093750
1980-12-01,2109.821289062500
1981-01-01,2093.066162109380
1981-02-01,2040.816650390630
1981-03-01,2115.773925781250
1981-04-01,2109.600830078130
1981-05-01,1933.010742187500
1981-06-01,1660.299316406250
1981-07-01,2048.312500000000
1981-08-01,2246.948730468750
1981-09-01,2337.117675781250
1981-10-01,2172.653076171880
1981-11-01,2056.469482421880
1981-12-01,2104.530273437500
1982-01-01,2188.085449218750
1982-02-01,2087.113769531250
1982-03-01,1947.781738281250
1982-04-01,1745.397705078130
1982-05-01,1714.973876953130
1982-06-01,1571.673583984380
1982-07-01,1578.287353515630
1982-08-01,1559.548095703130
1982-09-01,1686.093261718750
1982-10-01,1638.032714843750
1982-11-01,1541.249755859380
1982-12-01,1643.544189453130
1983-01-01,1784.198974609380
1983-02-01,1942.270263671880
1983-03-01,1859.376464843750
1983-04-01,1877.233886718750
1983-05-01,2065.067626953130
1983-06-01,2297.655029296880
1983-07-01,2302.725585937500
1983-08-01,2302.946044921880
1983-09-01,2138.040527343750
1983-10-01,2094.388916015630
1983-11-01,2219.611328125000
1983-12-01,2540.824462890630
1984-01-01,2621.954589843750
1984-02-01,2497.393554687500
1984-03-01,2536.194824218750
1984-04-01,2536.415283203130
1984-05-01,2677.510986328130
1984-06-01,2485.047607421880
1984-07-01,2216.524902343750
1984-08-01,2213.658935546880
1984-09-01,2311.103027343750
1984-10-01,2257.310302734380
1984-11-01,2255.105712890630
1984-12-01,2140.465576171880
1985-01-01,2219.611328125000
1985-02-01,2273.404052734380
1985-03-01,2232.398193359380
1985-04-01,2240.775878906250
1985-05-01,2129.001464843750
1985-06-01,2091.743408203130
1985-07-01,2209.911132812500
1985-08-01,2275.388183593750
1985-09-01,2342.188232421880
1985-10-01,2363.132080078130
1985-11-01,2297.655029296880
1985-12-01,2379.446289062500
1986-01-01,2323.669433593750
1986-02-01,2218.509033203130
1986-03-01,2107.175781250000
1986-04-01,1989.669433593750
1986-05-01,1905.673583984380
1986-06-01,1905.673583984380
